"KEGG_Id","Name","Description","Class"
"map00930",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00940","Phenylpropanoid biosynthesis","Phenylpropanoids are a group of plant secondary metabolites derived from phenylalanine and having a wide variety of functions both as structural and signaling molecules. Phenylalanine is first converted to cinnamic acid by deamination. It is followed by hydroxylation and frequent methylation to generate coumaric acid and other acids with a phenylpropane (C6-C3) unit. Reduction of the CoA-activated carboxyl groups of these acids results in the corresponding aldehydes and alcohols. The alcohols are called monolignols, the starting compounds for biosynthesis of lignin.","Metabolism; Biosynthesis of other secondary metabolites"
"map00941","Flavonoid biosynthesis","Flavonoids are a major class of plant secondary metabolites that serves a multitude of functions including pigments and antioxidant activity. Flavonoids are synthesized from phenylpropanoid derivatives by condensation with malonyl-CoA. For example, condensation of p-coumaroyl-CoA (C6-C3) with three malonyl-CoA (C3) molecules results in naringenin chalcone with a diphenylpropane (C6-C3-C6) unit, which is converted to naringenin with the flavone (2-phenylchromen-4-one) backbone by conjugate ring closure. These and further modifications yield a variety of structural forms including chalcones, flavanones, dihyroflavonols, and flavans, anthocyanins, flavones and flavonols, and isoflavonoids.","Metabolism; Biosynthesis of other secondary metabolites"
"map00942","Anthocyanin biosynthesis","Anthocyanidins (aglycones) and anthocyanins (glycosides) are common plant pigments and belong to a structural subclass of flavonoids characterized by a 2-phenylbenzopyrylium unit. They are derived along the flavonoid modification pathways and further separated into three types, pelargonidin, cyanidin, and delphinidin, due to the different number of hydroxyl groups in the phenyl group.","Metabolism; Biosynthesis of other secondary metabolites"
"map00943","Isoflavonoid biosynthesis","Isoflavonoids are biologically active compounds, such as phytoestrogens, produced by pea family plants. While flavonoids (in the narrow sense) have the 2-phenylchromen-4-one backbone, isoflavonoids have the 3-phenylchromen-4-one backbone with no hydroxyl group substitution at position 2. Isoflavonoids are derived from the flavonoid biosynthesis pathway via liquiritigenin or naringenin.","Metabolism; Biosynthesis of other secondary metabolites"
"map00944","Flavone and flavonol biosynthesis","Flavones and flavonols (3-hydroxyflavones) are common flavonoids in the plant kingdom. They are synthesized as part of the flavonoid modification pathways in aglycone and glucoside forms.","Metabolism; Biosynthesis of other secondary metabolites"
"map00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Stilbenoids are a group of phenolic compounds, biosynthetically interrelated through their common origin from a C6-C2-C6 intermediate, such as resveratol found in grapes. Stilbenoids can also exist as glycosides (e.g., piceid). Combretastatins are potentially useful stilbenoid natural products with known antitumor activity. Diarylheptanoid is a compound group having phenyl rings at 1,7 positions of n-heptane (C6-C7-C6), such as curcumin found in the ginger family. [6]-Gingerol is a major active component of ginger and has diverse pharmacologic effects.","Metabolism; Biosynthesis of other secondary metabolites"
"map00950","Isoquinoline alkaloid biosynthesis","Isoquinoline alkaloids are tyrosine-derived plant alkaloids with an isoquinoline skeleton. Among them benzylisoquinoline alkaloids form an important group with potent pharmacological activity, including analgesic compounds of morphine and codeine, and anti-infective agents of berberine, palmatine, and magnoflorine. Biosynthesis of isoquinoline alkaloids proceeds via decarboxylation of tyrosine or DOPA to yield dopamine, which together with 4-hydroxyphenylacetaldehyde, an aldehyde derived from tyrosine, is converted to reticuline, an important precursor of various benzylisoquinoline alkaloids.","Metabolism; Biosynthesis of other secondary metabolites"
"map00960",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00965","Betalain biosynthesis","Betalains are water-soluble nitrogen-containing pigments that are present in plants belonging to the order Caryophyllales (such as cactus and amaranth families) and in higher fungi. They contain betalamic acid as the chromophore and are classified into two types: betacyanins and betaxanthins. Betacyanins contain a cyclo-DOPA residue and exhibit red/violet coloration, while betaxanthins contain different amino acids or amino side chains and exhibit a yellow/orange coloration. The condensation of betalamic acid with amino acids (including cyclo-DOPA or amines) in plants is a spontaneous reaction, not an enzyme-catalyzed reaction.","Metabolism; Biosynthesis of other secondary metabolites"
"map00966","Glucosinolate biosynthesis","Glucosinolates are biologically active secondary metabolites found in Brassicaceae (mustard family) and related families.These compounds are genetically variable within plant species and used as natural pesticides, such as against insect herbivores. All glucosinolates share a common structure consisting of a beta-thioglucose moiety, a sulfonated oxime moiety, and a variable aglycone side chain derived from an alpha-amino acid. Genes encoding glucosinolate biosynthetic enzymes have been identified in Arabidopsis thaliana by genetic polymorphisms and loss-of-function mutations. This map shows examples of side chain elongation in methionine-derived glucosinolates and the core pathway for biosynthesis of glucosinolates from amino acids.","Metabolism; Biosynthesis of other secondary metabolites"
"map00970",nothing,nothing,"Genetic Information Processing; Translation"
"map00980",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00981",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map00982",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00983",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00984",nothing,nothing,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00996",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00997",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00998",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map00999",nothing,nothing,"Metabolism; Biosynthesis of other secondary metabolites"
"map01010",nothing,nothing,nothing
"map01040",nothing,nothing,"Metabolism; Lipid metabolism"
"map01051",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01052",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01053",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01054",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01055",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01056",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01057",nothing,nothing,"Metabolism; Metabolism of terpenoids and polyketides"
"map01059","Biosynthesis of enediyne antibiotics","Enediyne natural products are potent antitumor antibiotics produced by a variety of Actinomycetes. Enediyne has a unique structure consisting of three building blocks: aromatic, sugar and enediyne core. The enediyne core contains two acetylenic groups conjugated to a double bond in a 9- or 10-membered ring, and it is synthesized by an iterative type I polyketide synthase and other tailoring proteins [MD:M00824 M00825]. The 10-membered enediyne such as calicheamicin also contains an allylic trisulfide group, which acts as a trigger for diradical formation. This diagram shows the biosynthesis of C-1027, maduropeptin, neocarzinostatin, kedarcidin and calicheamicin. Some aromatic moieties are synthesized via iterative type I polyketide synthases, and others are derived from chorismate and aromatic amino acids such as tyrosine and azatyrosine [MD:M00829 M00830 M00831 M00834 M00826 M00827 M00828 M00832]. Finally, the aromatic and sugar building blocks are attached to the enediyne core by acyltransferases, condensation enzymes and glucosyltransferases [MD:M00833].","Metabolism; Metabolism of terpenoids and polyketides"
"map01060",nothing,nothing,nothing
"map01061",nothing,nothing,nothing
"map01062",nothing,nothing,nothing
"map01063",nothing,nothing,nothing
"map01064",nothing,nothing,nothing
"map01065",nothing,nothing,nothing
"map01066",nothing,nothing,nothing
"map01070",nothing,nothing,nothing
"map01100",nothing,nothing,nothing
"map01110",nothing,nothing,nothing
"map01120",nothing,nothing,nothing
"map01200","Carbon metabolism",nothing,nothing
"map01210","2-Oxocarboxylic acid metabolism",nothing,nothing
"map01212",nothing,nothing,nothing
"map01220","Degradation of aromatic compounds",nothing,nothing
"map01230","Biosynthesis of amino acids",nothing,nothing
"map01232",nothing,nothing,nothing
"map01240",nothing,nothing,nothing
"map01250",nothing,nothing,nothing
"map01501","beta-Lactam resistance","The beta-lactam antibiotics are the most widely used group of antibiotics, which exert their effect by interfering with the structural crosslinking of peptidoglycans in bacterial cell walls. Over the past decades, a rapid increase in the number of beta-lactam-resistant clinical isolates is observed. Bacterial resistance to beta-lactam antibiotics can be achieved by any of the following strategies: producing inactivating enzymes called beta-lactamases, altering the beta-lactam targets of penicillin-binding proteins (PBPs), reducing transport of beta-lactams into the periplasmic space via changes in porins, and using the mechanisms for exclusion of beta-lactams by way of efflux pumps. Resistance may result from intrinsic properties of organisms, through gene mutations, and through plasmid- and transposon-specified genes.","Human Diseases; Drug resistance: antimicrobial"
"map01502","Vancomycin resistance","Vancomycin (VCM) is a glycopeptide antibiotic agent that inhibits the synthesis of peptidolgycan in the production of bacterial cell walls. It is active in most Gram-positive bacteria and acts by binding to the D-Ala-D-Ala C-terminus of pentapeptide, thus blocking the addition of subunits to the peptidoglycan backbone. The resistance to VCM was first described among enterococci in the late 1980s in Europe. Subsequently, vancomycin-resistant enteococci (VRE) have been observed in many countries. The genes encoding resistance are carried on plasmids that can tranfer themselves from cell to cell and on tranponsons that can jump from plamids to the chromosome. Up to now, at least six resistance operon types are characterized, namely VanA, VanB, VanC, VanD, VanE and VanG. The VanA and VanB operons are detected on plasmids or in the chromosome, whereas the rest are found in the chromosome. In addition, Streptomyces, which is non-pathogenic, non-glycopeptide-producing actinomycete, also shows high-level resistance to VCM. In Streptomyces, novel genes (vanK and vanJ) are characterized with no counterparts found in the resistance clusters of pathogenic bacteria.
            The expression of vancomycin resistance pathway is induced by the VanS-VanR two component system, and D-Ala-D-Lac or D-Ala-D-Ser dipsipeptides are formed in place of D-Ala-D-Ala dipeptide. Thus, VCM cannot bind to pentadepsipeptide[D-Lac] or pentadepsipeptide[D-Ser]. The D-Ala-D-Lac variation shows high levels of resistance to VCM, especially in VanA type, wheras the D-Ala-D-Ser variation shows low levels of resistance. The modified pepidoglycan can interact with cross-linking enzymes (PBPs), thus cell wall is successfully formed.","Human Diseases; Drug resistance: antimicrobial"
"map01503","Cationic antimicrobial peptide (CAMP) resistance","Cationic antimicrobial peptides (CAMPs) play an important role in host defense against microbial infection and are key components of the innate immune response. These are found among all classes of life ranging from prokaryotes to humans. In addition to the natural peptides, thousands of synthetic variants have been produced. CAMPs weaken the integrity of the bacterial inner and outer membranes and subsequently kill bacterial cells. On the other hand, bacteria have developed a number of mechanisms against CAMPs. These resistance mechanisms include decreased affinity to CAMPs by substitution of anionic cell surface constituents with cationic molecules; biosynthesis and crosslinking of cell envelope components; external trapping mechanisms that bind or neutralize the CAMPs by direct secretion of proteins, or the release of CAMPs binding molecules from the host cell surface; membrane efflux pumps; and production of peptidases.","Human Diseases; Drug resistance: antimicrobial"
"map01521","EGFR tyrosine kinase inhibitor resistance","EGFR is a tyrosine kinase that participates in the regulation of cellular homeostasis. EGFR also serves as a stimulus for cancer growth. EGFR gene mutations and protein overexpression, both of which activate down- stream pathways, are associated with cancers, especially lung cancer. Several tyrosine kinase inhibitor (TKI) therapies against EGFR are currently administered and are initially effective in cancer patients who have EGFR mutations or aberrant activation of EGFR. However, the development of TKI resistance is common and results in the recurrence of tumors. Studies over the last decade have identified mechanisms that drive resistance to EGFR TKI treatment. Most outstanding mechanisms are: the secondary EGFR mutation (T790M), activation of alternative pathways (c-Met, HGF, AXL), aberrance of the downstream pathways (K-RAS mutations, loss of PTEN), impairment of the EGFR-TKIs-mediated apoptosis pathway (BCL2-like 11/BIM deletion polymorphism), histologic transformation, etc.","Human Diseases; Drug resistance: antineoplastic"
"map01522","Endocrine resistance","Endocrine therapy is a key treatment strategy to control or eradicate hormone-responsive breast cancer. The most commonly used endocrine therapy agents are selective estrogen receptor modulators (SERMs, e.g. tamoxifen), estrogen synthesis inhibitors (e.g. aromatase inhibitors (AIs) such as anastrozole, letrozole, and exemestane), and selective estrogen receptor down-regulators (SERDs, e.g. fulvestrant). However, resistance to these agents has become a major clinical obstacle. Mechanisms of endocrine resistance include loss of ER-alpha expression, altered expression of coactivators or coregulators that play a critical role in ER-mediated gene transcription, ligand-independent growth factor signaling cascades that activate kinases and ER-phosphorylation, altered availability of active tamoxifen metabolites regulated by drug-metabolizing enzymes, such as CYP2D6, and deregulation of the cell cycle and apoptotic machinery.","Human Diseases; Drug resistance: antineoplastic"
"map01523","Antifolate resistance","Since the 1940s, antifolates have played a pivotal role in drug treatment of malignant, microbial, parasitic and chronic inflammatory diseases. The molecular basis of the anti-proliferative activity of antifolates relies on inhibition of key enzymes in folate metabolism, which results in disruption of purine and thymidylate biosynthesis, inhibition of DNA replication and cell death. The anti-inflammatory properties of antifolate have been most strongly related to its ability to block the release of pro-inflammatory cytokines such as tumour necrosis factor (TNF)-alpha or interleukin (IL)-1beta. Cells may develop resistance to an antifolate drug by virtue of impaired drug transport into cells, augmented drug export, impaired activation of antifolates through polyglutamylation, augmented hydrolysis of antifolate polyglutamates, increased expression and mutation of target enzymes, and the augmentation of cellular tetrahydrofolate-cofactor pools in cells.","Human Diseases; Drug resistance: antineoplastic"
"map01524","Platinum drug resistance","Platinum-based drugs cisplatin, carboplatin and oxaliplatin are widely used in the therapy of solid malignancies, including testicular, ovarian, head and neck, colorectal, bladder and lung cancers. The mechanism of action of Platinum-based drugs involves covalent binding to purine DNA bases, which primarily leads to cellular apoptosis. Their clinical success is, however, limited due to severe side effects and intrinsic or acquired resistance to the treatment. Platinum resistance could arise from decreased drug influx, increased drug efflux, intracellular detoxification by glutathione, etc., decreased binding (e.g., due to high intracellular pH), increased DNA repair, decreased mismatch repair, defective apoptosis, and altered oncogene expression.","Human Diseases; Drug resistance: antineoplastic"
"map02010","ABC transporters","The ATP-binding cassette (ABC) transporters form one of the largest known protein families, and are widespread in bacteria, archaea, and eukaryotes. They couple ATP hydrolysis to active transport of a wide variety of substrates such as ions, sugars, lipids, sterols, peptides, proteins, and drugs. The structure of a prokaryotic ABC transporter usually consists of three components; typically two integral membrane proteins each having six transmembrane segments, two peripheral proteins that bind and hydrolyze ATP, and a periplasmic (or lipoprotein) substrate-binding protein. Many of the genes for the three components form operons as in fact observed in many bacterial and archaeal genomes. On the other hand, in a typical eukaryotic ABC transporter, the membrane spanning protein and the ATP-binding protein are fused, forming a multi-domain protein with the membrane-spanning domain (MSD) and the nucleotide-binding domain (NBD).","Environmental Information Processing; Membrane transport"
"map02020","Two-component system","Two-component signal transduction systems enable bacteria to sense, respond, and adapt to changes in their environment or in their intracellular state. Each two-component system consists of a sensor protein-histidine kinase (HK) and a response regulator (RR). In the prototypical two-component pathway, the sensor HK phosphorylates its own conserved His residue in response to a signal(s) in the environment. Subsequently, the phosphoryl group of HK is transferred onto a specific Asp residue on the RR. The activated RR can then effect changes in cellular physiology, often by regulating gene expression. Two-component pathways thus often enable cells to sense and respond to stimuli by inducing changes in transcription.","Environmental Information Processing; Signal transduction"
"map02024","Quorum sensing","Quorum sensing (QS) is a regulatory system that allows bacteria to share information about cell density and adjust gene expression accordingly. All QS bacteria produce and release chemical signal molecules called autoinducers (AIs) that increase in concentration as a function of cell density. The most commonly studied AIs belong to one of the following three categories: acylated homoserine lactones, also referred to as AI-1, used by Gram-negative bacteria; peptide signals, used by Gram-positive bacteria; and AI-2, used by both Gram-negative and Gram-positive bacteria. QS can be divided into at least 4 steps: production of AIs by the bacterial cell; release of AIs, either actively or passively, into the surrounding environment; recognition of AIs by specific receptors; and leading to changes in gene regulation once they exceed a threshold concentration. The processes controlled by QS include virulence, competence, conjugation, antibiotic production, motility, sporulation, and biofilm formation.","Cellular Processes; Cellular community - prokaryotes"
"map02025","Biofilm formation - Pseudomonas aeruginosa","Surface colonization and subsequent biofilm formation and development provide numerous advantages to microorganisms. The main key actors relevant in the regulation of biofilm formation by Pseudomonas aeruginosa include cAMP/Vfr signaling, quorum sensing (QS) systems, Gac/Rsm pathway, and c-di-GMP signaling. cAMP/Vfr signaling regulates the transcription of hundreds of genes encoding diverse virulence factors, including the type 2 secretion system and type 3 secretion system and their associated toxins, type IV pili, and flagella. It is demonstrated that the accumulation of cAMP inhibits the attachment phase of biofilm formation. The QS systems are arranged hierarchically with the las system positively regulating both the rhl and PQS systems. These three QS systems are involved in the regulation of virulence factor production, biofilm maturation, and motility phenotypes. GacS/GacA two-component system is promoting the expression of two small regulatory RNAs, RsmY and RsmZ, which sequester the translational repressor RsmA. Titration of RsmA induces the production of sessile and biofilm determinants, whereas free RsmA leads to a planktonic and more virulent lifestyle. c-di-GMP is a ubiquitous bacterial second messenger. Synthesis and degradation of c-di-GMP is facilitated by diguanylate cyclases (DGC) and phosphodiesterases (PDE). High intracellular levels of c-di-GMP evoke the processes leading to the production of biofilm matrix, while a decrease in its level causes an increase in cell motility and transition into the planktonic forms of growth.","Cellular Processes; Cellular community - prokaryotes"
"map02026","Biofilm formation - Escherichia coli","Bacteria inhabiting a biofilm are protected from physical stress, antimicrobials, and the host immune system, and thereby cause severe medical, environmental, and technical problems. Biofilm formation in Escherichia coli is regulated by two inversely controlled transcriptional feedforward cascades, the FlhDC/FliA cascade and the sigmaS/MlrA/CsgD cascade, which are active in post-exponentially growing and in stationary phase cells, respectively. Their final outputs, flagella production or the synthesis of the biofilm matrix components curli and cellulose, are mutually exclusive due to complementary sigma factor requirements, the abundant DNA-binding regulator FliZ, and opposite regulation by c-di-GMP. The RNA-binding protein CsrA, a central component of the global regulatory system, inhibits synthesis of the poly-N-acetyl-glucosamine (PGA) exopolysaccharide and glycogen and stimulates the expression of the flagellar master regulator FlhDC. CsrA activity is counteracted by two sRNAs, CsrB and CsrC. The lower figure shows that FlhDC, sigmaS, and CsgD, the transcription factors that control large regulons involved in flagellar and biofilm formation, serve as regulatory hubs for multiple environmental signal integration with a series of sRNAs providing distinct inputs.","Cellular Processes; Cellular community - prokaryotes"
"map02030","Bacterial chemotaxis","Chemotaxis is the process by which cells sense chemical gradients in their environment and then move towards more favorable conditions. In chemotaxis, events at the receptors control autophosphorylation of the CheA histidine kinase, and the phosphohistidine is the substrate for the response regulator CheY, which catalyzes the transfer of the phosphoryl group to a conserved aspartate. The resulting CheY-P can interact with the switch mechanism in the motor. This interaction causes a change in behavior, such as in direction or speed of rotation of flagella.","Cellular Processes; Cell motility"
"map02040",nothing,nothing,"Cellular Processes; Cell motility"
"map02060","Phosphotransferase system (PTS)","The phosphoenolpyruvate (PEP)-dependent phosphotransferase system (PTS) is a major mechanism used by bacteria for uptake of carbohydrates, particularly hexoses, hexitols, and disaccharides, where the source of energy is from PEP. The PTS consists of two general components, enzyme I (EI) and histidine phosphocarrier protein (HPr), and of membrane-bound sugar specific permeases (enzymes II). Each enzyme II (EII) complex consists of one or two hydrophobic integral membrane domains (domains C and D) and two hydrophilic domains (domains A and B). EII complexes may exist as distinct proteins or as a single multidomain protein. The PTS catalyzes the uptake of carbohydrates and their conversion into their respective phosphoesters during transport. There are four successive phosphoryl transfers in the PTS. Initial autophosphorylation of EI, using PEP as a substrate, is followed by transfer of the phosphoryl group from EI to HPr. EIIA catalyzes the self-phosphoryl transfer from HPr after which the phosphoryl group is transferred to histidine or cysteine residues of EIIB. The sugar is transported through the membrane-bound EIIC and is phosphorylated by the appropriate sugar-specific EIIB.","Environmental Information Processing; Membrane transport"
"map03008","Ribosome biogenesis in eukaryotes","Ribosomes are the cellular factories responsible for making proteins. In eukaryotes, ribosome biogenesis involves the production and correct assembly of four rRNAs and about 80 ribosomal proteins. It requires hundreds of factors not present in the mature particle. In the absence of these proteins, ribosome biogenesis is stalled and cell growth is terminated even under optimal growth conditions. The primary pre-rRNA transcript is assembled into the 90S pre-ribosome, which contains both 40S and 60S assembly factors. Within this complex, the pre-rRNA is cleaved. pre-60S ribosomes are subjected to several sequential processing steps in the nucleoplasm involving numerous assembly intermediates before it is exported to the cytoplasm and matured into the 60S ribosomal subunit. The pre-40S ribosome is matured to the small ribosomal subunit in the cytoplasm by cleavage.","Genetic Information Processing; Translation"
"map03010",nothing,nothing,"Genetic Information Processing; Translation"
"map03013","Nucleocytoplasmic transport","The exchange of molecules between the nucleus and cytoplasm is mediated through nuclear pore complexes (NPCs) embedded in the nuclear envelope. The NPC is composed of highly conserved, distinct structural modules: the inner pore ring, the cytoplasmic and nuclear rings as well as the cytoplasmic filaments and the nuclear basket. Nuclear transport receptors (e.g. importins and exportins) mediate translocation of cargos through the NPC. Cargo proteins harbouring a nuclear export signal (NES) bind to exportins and Ran-GTP to form an export complex in the nucleoplasm. Nuclear export of bulk mRNA is provided by the non-karyopherin transport proteins TAP-p15 in a Ran-GTP-independent manner. Several EJC factors are known to function in mRNA export.","Genetic Information Processing; Translation"
"map03015","mRNA surveillance pathway","The mRNA surveillance pathway is a quality control mechanism that detects and degrades abnormal mRNAs. These pathways include nonsense-mediated mRNA decay (NMD), nonstop mRNA decay (NSD), and no-go decay (NGD). NMD is a mechanism that eliminates mRNAs containing premature translation-termination codons (PTCs). In vertebrates, PTCs trigger efficient NMD when located upstream of an exon junction complex (EJC). Upf3, together with Upf1 and Upf2, may signal the presence of the PTC to the 5'end of the transcript, resulting in decapping and rapid exonucleolytic digestion of the mRNA. In the NSD pathway, which targets mRNAs lacking termination codons, the ribosome is believed to translate through the 3' untranslated region and stall at the end of the poly(A) tail. NSD involves an eRF3-like protein, Ski7p, which is hypothesized to bind the empty A site of the ribosome and recruit the exosome to degrade the mRNA from the 3' end. NGD targets mRNAs with stalls in translation elongation for endonucleolytic cleavage in a process involving the Dom34 and Hbs1 proteins.","Genetic Information Processing; Translation"
"map03018","RNA degradation","The correct processing, quality control and turnover of cellular RNA molecules are critical to many aspects in the expression of genetic information. In eukaryotes, two major pathways of mRNA decay exist and both pathways are initiated by poly(A) shortening of the mRNA. In the 5' to 3' pathway, this is followed by decapping which then permits the 5' to 3' exonucleolytic degradation of transcripts. In the 3' to 5' pathway, the exosome, a large multisubunit complex, plays a key role. The exosome exists in archaeal cells, too. In bacteria, endoribonuclease E, a key enzyme involved in RNA decay and processing, organizes a protein complex called degradosome. RNase E or R interacts with the phosphate-dependent exoribonuclease polynucleotide phosphorylase, DEAD-box helicases, and additional factors in the RNA-degrading complex.","Genetic Information Processing; Folding, sorting and degradation"
"map03020",nothing,nothing,"Genetic Information Processing; Transcription"
"map03022",nothing,nothing,"Genetic Information Processing; Transcription"
"map03030","DNA replication","A complex network of interacting proteins and enzymes is required for DNA replication. Generally, DNA replication follows a multistep enzymatic pathway. At the DNA replication fork, a DNA helicase (DnaB or MCM complex) precedes the DNA synthetic machinery and unwinds the duplex parental DNA in cooperation with the SSB or RPA. On the leading strand, replication occurs continuously in a 5 to 3 direction, whereas on the lagging strand, DNA replication occurs discontinuously by synthesis and joining of short Okazaki fragments. In prokaryotes, the leading strand replication apparatus consists of a DNA polymerase (pol III core), a sliding clamp (beta), and a clamp loader (gamma delta complex). The DNA primase (DnaG) is needed to form RNA primers. Normally, during replication of the lagging-strand DNA template, an RNA primer is removed either by an RNase H or by the 5 to 3 exonuclease activity of DNA pol I, and the DNA ligase joins the Okazaki fragments. In eukaryotes, three DNA polymerases (alpha, delta, and epsilon) have been identified. DNA primase forms a permanent complex with DNA polymerase alpha. PCNA and RFC function as a clamp and a clamp loader. FEN 1 and RNase H1 remove the RNA from the Okazaki fragments and DNA ligase I joins the DNA.","Genetic Information Processing; Replication and repair"
"map03040","Spliceosome","After transcription, eukaryotic mRNA precursors contain protein-coding exons and noncoding introns. In the following splicing, introns are excised and exons are joined by a macromolecular complex, the spliceosome. The standard spliceosome is made up of five small nuclear ribonucleoproteins (snRNPs), U1, U2, U4, U5, and U6 snRNPs, and several spliceosome-associated proteins (SAPs). Spliceosomes are not a simple stable complex, but a dynamic family of particles that assemble on the mRNA precursor and help fold it into a conformation that allows transesterification to proceed. Various spliceosome forms (e.g. A-, B- and C-complexes) have been identified.","Genetic Information Processing; Transcription"
"map03050","Proteasome","The proteasome is a protein-destroying apparatus involved in many essential cellular functions, such as regulation of cell cycle, cell differentiation, signal transduction pathways, antigen processing for appropriate immune responses, stress signaling, inflammatory responses, and apoptosis. It is capable of degrading a variety of cellular proteins in a rapid and timely fashion and most substrate proteins are modified by ubiquitin before their degradation by the proteasome. The proteasome is a large protein complex consisting of a proteolytic core called the 20S particle and ancillary factors that regulate its activity in various ways. The most common form is the 26S proteasome containing one 20S core particle and two 19S regulatory particles that enable the proteasome to degrade ubiquitinated proteins by an ATP-dependent mechanism. Another form is the immunoproteasome containing two 11S regulatory particles, PA28 alpha and PA28 beta, which are induced by interferon gamma under the conditions of intensified immune response. Other regulatory particles include PA28 gamma and PA200. Although PA28 gamma also belongs to a family of activators of the 20S proteasome, it is localized within the nucleus and forms a homoheptamer. PA28 gamma has been implicated in the regulation of cell cycle progression and apoptosis. PA200 has been identified as a large nuclear protein that stimulates proteasomal hydrolysis of peptides.","Genetic Information Processing; Folding, sorting and degradation"
"map03060","Protein export","The protein export is the active transport of proteins from the cytoplasm to the exterior of the cell, or to the periplasmic compartment in Gram-negative bacteria. The sec dependent pathway is the general protein export system that transports newly synthesized proteins into or across the cell membrane. The translocation channel is formed from a conserved trimeric membrane protein complex, called the Sec61/SecY complex. The twin-arginine translocation (Tat) pathway is another protein transport system that transports folded proteins in bacteria, archaea, and chloroplasts. Many Tat systems comprise three functionally different membrane proteins, TatA, TatB, and TatC, but TatA and TatE seem to have overlapping functions, with TatA having by far the more important role.","Genetic Information Processing; Folding, sorting and degradation"
"map03070","Bacterial secretion system","Gram-negative bacteria secrete a wide range of proteins whose functions include biogenesis of organelles, such as pilli and flagella, nutrient acquisition, virulence, and efflux of drugs and other toxins. Six distinct secretion systems have been shown to mediate protein export through the inner and outer membranes of Gram-negative bacteria. These pathways are highly conserved throughout the Gram-negative bacterial species. In Gram-positive bacteria, secreted proteins are commonly translocated across the single membrane by the Sec pathway or the two-arginine (Tat) pathway.","Environmental Information Processing; Membrane transport"
"map03230",nothing,nothing,"Genetic Information Processing; Information processing in viruses"
"map03240",nothing,nothing,"Genetic Information Processing; Information processing in viruses"
"map03250",nothing,nothing,"Genetic Information Processing; Information processing in viruses"
"map03320","PPAR signaling pathway","Peroxisome proliferator-activated receptors (PPARs) are nuclear hormone receptors that are activated by fatty acids and their derivatives. PPAR has three subtypes (PPARalpha, beta/delta, and gamma) showing different expression patterns in vertebrates. Each of them is encoded in a separate gene and binds fatty acids and eicosanoids. PPARalpha plays a role in the clearance of circulating or cellular lipids via the regulation of gene expression involved in lipid metabolism in liver and skeletal muscle. PPARbeta/delta is involved in lipid oxidation and cell proliferation. PPARgamma promotes adipocyte differentiation to enhance blood glucose uptake.","Organismal Systems; Endocrine system"
"map03410","Base excision repair","Base excision repair (BER) is the predominant DNA damage repair pathway for the processing of small base lesions, derived from oxidation and alkylation damages. BER is normally defined as DNA repair initiated by lesion-specific DNA glycosylases and completed by either of the two sub-pathways: short-patch BER where only one nucleotide is replaced and long-patch BER where 2-13 nucleotides are replaced. Each sub-pathway of BER relies on the formation of protein complexes that assemble at the site of the DNA lesion and facilitate repair in a coordinated fashion. This process of complex formation appears to provide an increase in specificity and efficiency to the BER pathway, thereby facilitating the maintenance of genome integrity by preventing the accumulation of highly toxic repair intermediates.","Genetic Information Processing; Replication and repair"
"map03420","Nucleotide excision repair","Nucleotide excision repair (NER) is a mechanism to recognize and repair bulky DNA damage caused by compounds, environmental carcinogens, and exposure to UV-light. In humans hereditary defects in the NER pathway are linked to at least three diseases: xeroderma pigmentosum (XP), Cockayne syndrome (CS), and trichothiodystrophy (TTD). The repair of damaged DNA involves at least 30 polypeptides within two different sub-pathways of NER known as transcription-coupled repair (TCR-NER) and global genome repair (GGR-NER). TCR refers to the expedited repair of lesions located in the actively transcribed strand of genes by RNA polymerase II (RNAP II). In GGR-NER the first step of damage recognition involves XPC-hHR23B complex together with XPE complex (in prokaryotes, uvrAB complex). The following steps of GGR-NER and TCR-NER are similar.","Genetic Information Processing; Replication and repair"
"map03430","Mismatch repair","DNA mismatch repair (MMR) is a highly conserved biological pathway that plays a key role in maintaining genomic stability. MMR corrects DNA mismatches generated during DNA replication, thereby preventing mutations from becoming permanent in dividing cells. MMR also suppresses homologous recombination and was recently shown to play a role in DNA damage signaling. Defects in MMR are associated with genome-wide instability, predisposition to certain types of cancer including HNPCC, resistance to certain chemotherapeutic agents, and abnormalities in meiosis and sterility in mammalian systems.
