ensembl_gene_id,percentage_gene_gc_content,external_gene_name,entrezgene_id
ENSG00000248908,35.88,LINC02239,340107
ENSG00000250524,30.63,AC106821.1,
ENSG00000132254,52.80,ARFIP2,23647
ENSG00000199911,35.29,Y_RNA,
ENSG00000251273,35.60,LINC02228,
ENSG00000100888,42.52,CHD8,57680
ENSG00000245662,34.38,LINC02211,
ENSG00000248738,50.44,AC037441.1,101929237
ENSG00000285042,31.67,AC099499.2,
ENSG00000279422,54.16,AC231657.1,
ENSG00000251654,33.90,AC099499.1,
ENSG00000253142,41.43,AC037441.2,
ENSG00000102007,54.07,PLP2,5355
ENSG00000240116,54.98,RN7SL303P,
ENSG00000260761,31.33,AC106754.1,
ENSG00000245025,53.15,AC107959.1,
ENSG00000232800,50.39,SLC7A15P,
ENSG00000279671,28.76,AC106754.2,
ENSG00000248605,32.77,AC022140.1,
ENSG00000131375,37.11,CAPN7,23473
ENSG00000212171,52.04,RNA5SP86,
ENSG00000143878,57.46,RHOB,388
ENSG00000008853,53.51,RHOBTB2,23221
ENSG00000279531,29.79,AC022140.2,
ENSG00000201016,37.04,RNU6-374P,
ENSG00000274421,39.25,AL162390.1,
ENSG00000279869,30.79,AC022418.1,
ENSG00000239180,38.95,Y_RNA,
ENSG00000251593,52.37,MSNP1,
ENSG00000228950,46.07,AC023137.1,
ENSG00000119138,43.93,KLF9,687
ENSG00000286625,33.51,AC113370.1,
ENSG00000012211,55.64,PRICKLE3,4007
ENSG00000200829,45.54,Y_RNA,
ENSG00000227047,50.32,AC012065.1,
ENSG00000222560,29.93,RNU4-43P,
ENSG00000249099,33.67,AC025475.1,
ENSG00000279307,43.33,NDUFAF2P1,
ENSG00000286204,40.36,AC025475.2,
ENSG00000118960,52.47,HS1BP3,64342
ENSG00000248221,41.20,STX18-IT1,104472519
ENSG00000230571,63.17,AC113347.1,
ENSG00000248426,59.14,AC113347.2,
ENSG00000237170,47.00,RPS7P15,
ENSG00000250703,36.49,AC113347.3,
ENSG00000251033,33.60,AC113347.4,
ENSG00000247708,46.00,STX18-AS1,100507266
ENSG00000249616,46.26,CCNB3P1,
ENSG00000273232,30.58,AC090912.3,
ENSG00000265939,50.00,UBE2CP2,
ENSG00000113100,34.23,CDH9,1007
ENSG00000083067,38.04,TRPM3,80036
ENSG00000284331,81.11,MIR4741,100616139
ENSG00000242182,50.84,RN7SL745P,
ENSG00000223023,37.96,Y_RNA,
ENSG00000226648,43.01,PLCG1-AS1,
ENSG00000134508,48.32,CABLES1,91768
ENSG00000283900,47.79,TPTEP2-CSNK1E,102800317
ENSG00000244627,43.54,TPTEP2,
ENSG00000124181,49.84,PLCG1,5335
ENSG00000269976,42.14,AC012065.2,
ENSG00000259122,43.57,TVP23BP1,
ENSG00000231948,55.41,HS1BP3-IT1,100874343
ENSG00000233416,46.13,RPS25P3,
ENSG00000182256,40.82,GABRG3,2567
ENSG00000143869,54.59,GDF7,151449
ENSG00000284372,69.49,MIR6808,102466740
ENSG00000207261,37.74,RNU6-738P,
ENSG00000162576,65.30,MXRA8,54587
ENSG00000102003,52.52,SYP,6855
ENSG00000280310,51.53,AC092437.1,
ENSG00000250337,34.23,PURPL,643401
ENSG00000273396,51.85,LINC01396,103695434
ENSG00000270100,40.06,AC012065.3,
ENSG00000163132,56.95,MSX1,4487
ENSG00000120889,43.19,TNFRSF10B,8795
ENSG00000118961,38.21,LDAH,60526
ENSG00000283977,43.65,AC084337.2,
ENSG00000251587,43.65,LDHAP1,
ENSG00000200761,53.22,RN7SKP113,
ENSG00000170891,42.97,CYTL1,54360
ENSG00000132286,47.31,TIMM10B,26515
ENSG00000273008,54.40,CSGALNACT2-DT,
ENSG00000169826,38.92,CSGALNACT2,55454
ENSG00000228740,41.82,GABRG3-AS1,
ENSG00000214254,50.64,AC136896.1,
ENSG00000200326,49.58,RNA5SP391,
ENSG00000198915,56.42,RASGEF1A,221002
ENSG00000258624,36.65,SERPINE4P,
ENSG00000229955,36.70,Z98749.1,
ENSG00000237341,52.05,SYP-AS1,
ENSG00000261426,42.21,AC144833.1,
ENSG00000286144,55.87,Z97056.2,
ENSG00000228620,56.97,Z97056.1,
ENSG00000258970,39.64,AC104002.1,
ENSG00000102001,52.86,CACNA1F,778
ENSG00000259152,42.35,AC104002.2,
ENSG00000168135,56.52,KCNJ4,3761
ENSG00000259168,39.23,AC104002.3,
ENSG00000152953,42.68,STK32B,55351
ENSG00000258594,34.28,AC021979.1,
ENSG00000287922,39.42,AC021979.3,
ENSG00000258853,40.76,AC021979.2,
ENSG00000286440,54.71,Z97056.3,
ENSG00000100196,49.55,KDELR3,11015
ENSG00000104044,43.49,OCA2,4948
ENSG00000100201,43.03,DDX17,10521
ENSG00000254595,45.55,AC084337.1,
ENSG00000248490,34.15,AC113355.1,
ENSG00000250079,46.46,AC093300.1,
ENSG00000179532,43.78,DNHD1,144132
ENSG00000249785,42.68,LINC02103,
ENSG00000250453,34.32,AC008825.1,
ENSG00000134490,45.61,TMEM241,85019
ENSG00000286432,32.40,AC109472.1,
ENSG00000252867,36.45,RNU6-909P,
ENSG00000270495,54.87,AC008825.2,
ENSG00000259786,35.31,LINC02109,
ENSG00000224265,48.06,LINC02633,
ENSG00000224660,45.54,SH3BP5-AS1,100505696
ENSG00000285712,50.56,AC068707.1,
ENSG00000221468,52.80,RNU6ATAC11P,
ENSG00000150201,54.00,FXYD4,53828
ENSG00000175756,66.87,AURKAIP1,54998
ENSG00000131370,46.70,SH3BP5,9467
ENSG00000174898,49.49,CATSPERD,257062
ENSG00000271035,41.43,AC010385.2,
ENSG00000162685,58.17,LSP1P3,
ENSG00000226400,42.97,AC010385.1,
ENSG00000169813,47.66,HNRNPF,3185
ENSG00000277878,51.85,AC010385.3,
ENSG00000249226,42.49,SUCLG2P4,
ENSG00000252601,35.65,AC024589.2,
ENSG00000248687,39.71,AC024589.1,
ENSG00000270430,36.63,AC024589.3,
ENSG00000286182,34.28,AC112172.2,
ENSG00000248391,33.72,LINC02064,
ENSG00000236436,36.01,LINC02850,101928271
ENSG00000153814,41.44,JAZF1,221895
ENSG00000223663,48.77,NDUFB4P8,
ENSG00000261012,38.38,AC115619.1,
ENSG00000252266,35.00,Y_RNA,
ENSG00000201496,50.17,RN7SKP275,
ENSG00000084674,42.97,APOB,338
ENSG00000082929,45.25,LINC01587,10141
ENSG00000212123,66.82,PRR22,163154
ENSG00000221400,52.11,SNORD3J,109616985
ENSG00000230555,49.52,AL450326.1,
ENSG00000221978,51.38,CCNL2,81669
ENSG00000243660,46.86,ZNF487,642819
ENSG00000267157,65.14,AC011499.1,
ENSG00000141994,61.95,DUS3L,56931
ENSG00000246130,48.00,AC107959.2,286059
ENSG00000253616,50.42,AC107959.3,
ENSG00000232394,53.14,AC090696.1,
ENSG00000173040,45.06,EVC2,132884
ENSG00000228992,42.21,RPL5P32,
ENSG00000284948,46.05,AC107959.4,254896
ENSG00000100206,42.02,DMC1,11144
ENSG00000284956,44.91,AC107959.5,
ENSG00000128731,43.75,HERC2,8924
ENSG00000252532,41.54,RNU7-193P,
ENSG00000236114,37.51,AL450326.2,
ENSG00000173535,45.77,TNFRSF10C,8794
ENSG00000196793,42.81,ZNF239,8187
ENSG00000287489,47.76,AC004549.1,
ENSG00000276098,51.40,AC027345.1,
ENSG00000206623,37.38,RNU6-979P,
ENSG00000248418,47.15,UBL5P1,
ENSG00000234336,41.04,JAZF1-AS1,
ENSG00000250984,51.06,AC108082.1,
ENSG00000249744,42.62,AC010374.2,
ENSG00000132275,47.37,RRP8,23378
ENSG00000233787,39.94,AC010374.1,
ENSG00000223136,45.87,RN7SKP207,
ENSG00000280305,36.59,AC018765.1,
ENSG00000174495,47.55,PPIAP80,
ENSG00000250587,38.60,HPRT1P2,
ENSG00000250118,50.71,AC114300.1,
ENSG00000287176,34.75,AC099517.1,
ENSG00000173530,45.29,TNFRSF10D,8793
ENSG00000146592,40.70,CREB5,9586
ENSG00000276169,64.29,MIR6871,102466912
ENSG00000287940,34.65,AC026433.1,
ENSG00000287852,44.04,AL450326.3,
ENSG00000241668,51.10,RPL19P11,
ENSG00000232004,47.55,CAP1P2,
ENSG00000253940,41.10,AC026421.1,
ENSG00000174306,41.13,ZHX3,23051
ENSG00000254138,38.50,AC113386.1,
ENSG00000198298,40.89,ZNF485,220992
ENSG00000113361,38.31,CDH6,1004
ENSG00000223910,43.51,ZNF32-AS3,414201
ENSG00000254400,65.08,AC091564.2,
ENSG00000237389,41.43,AL645634.2,
ENSG00000238263,45.18,RPL21P88,
ENSG00000169740,46.50,ZNF32,7580
ENSG00000226245,45.07,ZNF32-AS1,414197
ENSG00000166333,49.78,ILK,3611
ENSG00000230565,42.49,ZNF32-AS2,414208
ENSG00000228426,48.28,AL645634.1,
ENSG00000271173,58.40,SPRING1P1,
ENSG00000104689,45.34,TNFRSF10A,8797
ENSG00000224162,49.00,UQCRHP3,
ENSG00000223746,41.47,ELOCP30,
ENSG00000234973,33.78,LINC02658,102724264
ENSG00000226808,44.26,LINC00840,100506835
ENSG00000171119,61.95,NRTN,4902
ENSG00000156413,53.63,FUT6,2528
ENSG00000250482,53.74,DUX4L51,
ENSG00000113360,39.75,DROSHA,29102
ENSG00000226790,46.36,HNRNPA3P1,
ENSG00000236769,44.01,LINC02659,
ENSG00000233395,45.13,LINC00841,
ENSG00000171124,51.90,FUT3,2525
ENSG00000201162,42.06,RNU6-454P,
ENSG00000272407,44.18,AL022394.1,
ENSG00000226427,50.55,HMGN2P7,
ENSG00000242748,44.75,RPL23AP81,
ENSG00000263989,53.02,RN7SL615P,
ENSG00000224279,49.10,RPS29P31,
ENSG00000253930,39.73,TNFRSF10A-AS1,
ENSG00000235102,46.28,ADI1P1,
ENSG00000227029,46.79,AL139237.1,
ENSG00000206562,42.52,METTL6,131965
ENSG00000243265,45.58,RPL23AP55,
ENSG00000184949,45.78,FAM227A,646851
ENSG00000237590,55.11,AL137026.2,
ENSG00000132793,55.15,LPIN3,64900
ENSG00000246582,44.78,AC100861.1,389641
ENSG00000229116,41.80,AL137026.1,
ENSG00000250714,41.51,AC100861.2,
ENSG00000277288,58.67,LINC02881,100130539
ENSG00000147457,46.73,CHMP7,91782
ENSG00000287901,41.23,AL137026.3,
ENSG00000280390,35.85,AC010872.1,
ENSG00000287956,41.87,AC010872.2,
ENSG00000107562,52.37,CXCL12,6387
ENSG00000218819,35.06,TDRD15,100129278
ENSG00000271629,36.15,AC067959.1,
ENSG00000233005,38.68,AC018742.1,
ENSG00000231204,39.35,AC011752.1,
ENSG00000267709,49.57,AC024592.2,101928844
ENSG00000130383,53.72,FUT5,2527
ENSG00000267740,55.09,AC024592.3,
ENSG00000224870,59.40,MRPL20-AS1,148413
ENSG00000270654,45.44,NUTF2P8,
ENSG00000235537,37.74,AC009411.2,
ENSG00000228538,42.73,AC009411.1,
ENSG00000100211,47.17,CBY1,25776
ENSG00000174886,59.05,NDUFA11,126328
ENSG00000144597,43.46,EAF1,85403
ENSG00000229621,36.60,LINC01822,645949
ENSG00000242485,53.02,MRPL20,55052
ENSG00000266495,50.96,AC011731.1,
ENSG00000225286,53.41,AC005105.1,
ENSG00000214089,42.38,RPL9P21,
ENSG00000101782,41.69,RIOK3,8780
ENSG00000270767,42.34,AL356157.2,
ENSG00000255690,56.85,TRIL,9865
ENSG00000287173,41.25,AL356157.3,
ENSG00000264192,54.73,RN7SL117P,
ENSG00000234580,42.88,AL356157.1,
ENSG00000228999,36.72,AC096570.1,
ENSG00000228421,62.54,AC005013.1,
ENSG00000224812,46.33,TMEM72-AS1,220980
ENSG00000272568,40.04,AC005162.2,100506497
ENSG00000266941,52.81,AC024592.1,
ENSG00000233517,42.52,AC005162.1,
ENSG00000267314,53.81,AC104532.1,
ENSG00000206926,39.25,RNU6-1024P,
ENSG00000249786,47.32,EAF1-AS1,
ENSG00000223691,39.08,AC068044.1,
ENSG00000187650,53.24,VMAC,400673
ENSG00000072840,47.40,EVC,2121
ENSG00000264293,54.61,RN7SL657P,
ENSG00000272455,49.44,MRPL20-DT,
ENSG00000234189,41.67,AC099799.1,
ENSG00000106066,41.00,CPVL,54504
ENSG00000104679,47.98,R3HCC1,203069
ENSG00000206882,50.00,RNA5SP87,
ENSG00000234207,36.56,LINC01830,
ENSG00000235098,66.51,ANKRD65,441869
ENSG00000267571,52.76,AC104532.2,
ENSG00000233587,38.04,LINC01884,
ENSG00000105519,59.90,CAPS,828
ENSG00000183798,62.58,EMILIN3,90187
ENSG00000222616,43.54,RN7SKP27,
ENSG00000232451,42.48,AC018467.1,
ENSG00000229398,36.41,AL031667.1,
ENSG00000124177,41.09,CHD6,84181
ENSG00000256338,50.61,RPL41P2,
ENSG00000225905,66.57,AL391244.1,
ENSG00000261401,47.04,HERC2P1,
ENSG00000205116,70.60,TMEM88B,643965
ENSG00000206561,46.58,COLQ,8292
ENSG00000223530,52.86,AC012506.1,
ENSG00000261561,59.49,AC091304.4,
ENSG00000233714,53.29,AC012506.3,
ENSG00000225285,66.84,LINC01770,
ENSG00000237850,51.63,AC091304.1,645202
ENSG00000223634,47.57,AC012506.2,
ENSG00000235497,44.34,AC012506.4,
ENSG00000230912,48.60,AL021707.4,
ENSG00000272232,53.85,RN7SL726P,
ENSG00000228274,48.26,AL021707.2,
ENSG00000227395,39.02,EIF2AP4,
ENSG00000232086,40.98,AL159990.2,
ENSG00000234504,48.23,AL353801.2,
ENSG00000179403,66.36,VWA1,64856
ENSG00000223966,40.98,AL159990.1,
ENSG00000119771,50.50,KLHL29,114818
ENSG00000187783,51.49,TMEM72,643236
ENSG00000207935,48.18,MIR204,406987
ENSG00000224437,47.13,PIGUP1,
ENSG00000229814,44.74,RPL35AP21,
ENSG00000261497,42.17,AC091304.3,
ENSG00000287219,49.45,AL021707.9,
ENSG00000230216,68.13,HSPB1P2,
ENSG00000100216,48.69,TOMM22,56993
ENSG00000135048,40.46,CEMIP2,23670
ENSG00000101997,53.55,CCDC22,28952
ENSG00000153684,49.12,GOLGA8F,100132565
ENSG00000215915,56.97,ATAD3C,219293
ENSG00000223462,41.99,AL353801.1,
ENSG00000031823,52.74,RANBP3,8498
ENSG00000100221,47.81,JOSD1,9929
ENSG00000273363,53.32,AL353801.3,
ENSG00000107551,53.37,RASSF4,83937
ENSG00000224361,50.60,AC011239.1,
ENSG00000279526,49.16,AC011239.2,
ENSG00000160072,58.83,ATAD3B,83858
ENSG00000283031,54.96,AC009242.1,
ENSG00000276891,51.72,RN7SL238P,
ENSG00000072832,48.99,CRMP1,1400
ENSG00000261524,56.19,ABCB10P3,
ENSG00000276928,31.86,AC091304.8,
ENSG00000274532,34.16,AC091304.5,
ENSG00000266039,31.91,MIR4509-2,100616228
ENSG00000119778,37.99,ATAD2B,54454
ENSG00000284628,37.19,AC091304.9,
ENSG00000260159,67.89,AC091304.2,
ENSG00000100226,51.11,GTPBP1,9567
ENSG00000134013,48.43,LOXL2,4017
ENSG00000199357,39.18,Y_RNA,
ENSG00000261365,37.01,AC138749.4,
ENSG00000283084,51.01,AC026634.1,
ENSG00000263964,31.91,MIR4509-3,100616382
ENSG00000274814,33.65,AC138749.5,
ENSG00000260053,56.18,ABCB10P4,
ENSG00000141452,45.13,RMC1,29919
ENSG00000183629,49.13,GOLGA8G,283768
ENSG00000049768,53.75,FOXP3,50943
ENSG00000199436,47.12,SNORD9,692053
ENSG00000200785,50.00,SNORD8,319103
ENSG00000241035,46.09,AL161747.1,
ENSG00000258870,57.48,EIF4EBP1P1,
ENSG00000274475,54.85,RN7SL650P,
ENSG00000129472,41.18,RAB2B,84932
ENSG00000235088,47.74,AL031667.2,
ENSG00000273951,33.74,AL031667.3,
ENSG00000166337,52.53,TAF10,6881
ENSG00000232493,47.90,RPL12P11,
ENSG00000252386,38.68,RNU6-1018P,
ENSG00000212224,38.52,AL133229.1,
ENSG00000225458,43.00,AL049812.2,
ENSG00000223651,58.89,AL049812.1,
ENSG00000228959,41.73,AL049812.3,
ENSG00000196090,42.34,PTPRT,11122
ENSG00000253837,49.41,AC090197.1,100507156
ENSG00000197217,44.43,ENTPD4,9583
ENSG00000284740,53.70,AL645728.2,
ENSG00000254641,52.14,AC091564.3,
ENSG00000285338,52.28,AC091564.7,
ENSG00000229598,46.79,PRDX3P1,
ENSG00000165507,57.21,DEPP1,11067
ENSG00000100242,54.74,SUN2,25777
ENSG00000197785,59.87,ATAD3A,55210
ENSG00000165511,44.41,ZNF22-AS1,220979
ENSG00000165512,40.76,ZNF22,7570
ENSG00000226937,39.14,CEP164P1,
ENSG00000166340,50.28,TPP1,1200
ENSG00000277757,39.47,AL358394.3,
ENSG00000092203,43.81,TOX4,9878
ENSG00000270258,41.60,DUXAP4,
ENSG00000228462,55.05,RPS19P7,
ENSG00000224464,52.21,PGAM1P6,
ENSG00000232554,40.87,RSU1P2,
ENSG00000238111,45.73,RPS13P4,
ENSG00000173960,42.94,UBXN2A,165324
ENSG00000235690,38.20,CUBNP3,
ENSG00000243349,38.94,AL358394.2,
ENSG00000236442,55.63,ANKRD54P1,
ENSG00000230501,34.99,ANKRD30BP3,
ENSG00000263476,42.67,MIR3156-1,100422988
ENSG00000227683,35.83,AL358394.1,
ENSG00000275312,53.46,AL512324.1,
ENSG00000278531,33.92,AL512324.3,
ENSG00000206682,41.90,Y_RNA,
ENSG00000207071,42.06,RNU6-1207P,
ENSG00000234993,40.96,CUBNP2,
ENSG00000276955,51.72,Metazoa_SRP,
ENSG00000082213,39.87,C5orf22,55322
ENSG00000224402,44.21,OR6D1P,
ENSG00000261041,41.39,AC138749.3,
ENSG00000284370,64.44,MIR4640,100616237
ENSG00000213780,51.20,GTF2H4,2968
ENSG00000227717,51.21,AC138749.1,100132202
ENSG00000229452,41.80,CPVL-AS1,107986703
ENSG00000234946,49.01,SDHCP3,
ENSG00000285412,37.16,AC005232.1,101928168
ENSG00000243847,53.95,RN7SL610P,
ENSG00000260444,58.68,AC138749.2,
ENSG00000271166,34.19,AL671309.1,
ENSG00000256574,38.31,OR13A1,79290
ENSG00000261581,46.96,HERC2P11,
ENSG00000205639,48.50,MFSD2B,388931
ENSG00000107362,38.14,ABHD17B,51104
ENSG00000285162,42.02,AC004593.2,1124
ENSG00000206149,42.75,HERC2P9,440248
ENSG00000012779,47.73,ALOX5,240
ENSG00000106069,42.06,CHN2,1124
ENSG00000200922,42.71,Y_RNA,
ENSG00000155621,38.63,C9orf85,138241
ENSG00000141458,44.65,NPC1,4864
ENSG00000205090,66.80,TMEM240,339453
ENSG00000263573,54.29,MIR4270,100422868
ENSG00000288077,48.44,AC027129.1,
ENSG00000241064,53.00,RN7SL110P,
ENSG00000163026,43.29,WDCP,80304
ENSG00000236060,63.28,HSPB1P1,
ENSG00000253390,45.89,AC104561.1,
ENSG00000253483,55.49,AC104561.2,
ENSG00000131373,39.05,HACL1,26061
ENSG00000204669,40.24,C9orf57,138240
ENSG00000287166,45.64,AC104561.4,
ENSG00000160075,53.86,SSU72,29101
ENSG00000253986,48.15,AC104561.3,
ENSG00000165819,42.48,METTL3,56339
ENSG00000147454,48.38,SLC25A37,51312
ENSG00000222940,44.23,RNU6-370P,
ENSG00000254398,46.14,AC055876.2,
ENSG00000119782,48.23,FKBP1B,2281
ENSG00000188626,43.92,GOLGA8M,653720
ENSG00000215014,56.15,AL645728.1,
ENSG00000279923,41.90,AC022417.1,
ENSG00000274481,63.75,AL691432.3,
ENSG00000199765,38.10,RNU6-363P,
ENSG00000228594,70.72,FNDC10,643988
ENSG00000133401,45.42,PDZD2,23037
ENSG00000286989,64.73,AL691432.4,
ENSG00000272106,57.36,AL691432.2,
ENSG00000286823,39.35,AL583829.1,
ENSG00000224820,46.06,BTF3P4,
ENSG00000119125,40.49,GDA,9615
ENSG00000229892,38.45,AL035666.1,
ENSG00000229042,44.38,AL031656.1,101927159
ENSG00000274632,53.59,RN7SL719P,
ENSG00000252067,36.28,RNU4-71P,
ENSG00000261480,39.91,GOLGA8M,653720
ENSG00000253488,39.24,SINHCAFP3,
ENSG00000248334,39.62,WHAMMP2,
ENSG00000167034,49.36,NKX3-1,4824
ENSG00000227599,41.16,PTPRT-AS1,101927138
ENSG00000181215,49.24,C4orf50,389197
ENSG00000223190,53.17,RN7SKP100,
ENSG00000233508,49.52,AL021395.1,
ENSG00000197530,66.41,MIB2,142678
ENSG00000263300,45.50,AC015853.3,
ENSG00000262905,51.64,AC015853.1,
ENSG00000240639,56.25,RN7SL666P,
ENSG00000262708,48.32,AC027455.1,
ENSG00000244097,49.47,RPS4XP17,
ENSG00000226038,47.11,PPIAP21,
ENSG00000252193,35.20,AL021395.2,
ENSG00000237555,52.00,AL031681.1,
ENSG00000167695,49.92,TLCD3A,79850
ENSG00000201021,38.68,RNU6-743P,
ENSG00000260844,49.58,AC055876.4,
ENSG00000233711,51.31,EIF4EBP2P1,
ENSG00000115128,43.05,SF3B6,51639
ENSG00000263631,40.74,MIR378D1,100616201
ENSG00000206998,42.16,Y_RNA,
ENSG00000232431,45.40,AC055876.1,100289656
ENSG00000180053,58.20,NKX2-6,137814
ENSG00000253471,43.81,AC012574.1,
ENSG00000124193,42.30,SRSF6,6431
ENSG00000256951,63.54,AC055876.3,
ENSG00000152969,49.33,JAKMIP1,152789
ENSG00000261377,41.42,PDCD6IPP2,
ENSG00000254002,43.28,AC012574.2,
ENSG00000271118,46.40,AC012119.2,
ENSG00000207027,49.66,AC012119.1,
ENSG00000159167,43.80,STC1,6781
ENSG00000219626,43.18,FAM228B,375190
ENSG00000179409,56.14,GEMIN4,50628
ENSG00000271616,43.44,AC055876.5,
ENSG00000261649,51.72,GOLGA6L7,728310
ENSG00000288000,46.19,AL031681.2,
ENSG00000207201,48.77,RNU1-148P,
ENSG00000253891,38.30,AC023202.1,
ENSG00000199366,43.40,Y_RNA,
ENSG00000288473,53.81,AL669830.1,
ENSG00000201372,41.12,RNU6-1251P,
ENSG00000270301,52.80,AC174071.1,
ENSG00000154065,44.28,ANKRD29,147463
ENSG00000042980,35.71,ADAM28,10863
ENSG00000287894,43.79,AC174469.1,
ENSG00000165821,48.58,SALL2,6297
ENSG00000185513,48.31,L3MBTL1,26013
ENSG00000034053,48.63,APBA2,321
ENSG00000231964,43.77,AL731567.1,102724323
ENSG00000165406,40.34,MARCHF8,220972
ENSG00000231784,49.65,DBIL5P,
ENSG00000115129,49.47,TP53I3,9540
ENSG00000286181,51.52,AC232271.3,
ENSG00000137411,54.92,VARS2,57176
ENSG00000049769,47.90,PPP1R3F,89801
ENSG00000167699,45.54,GLOD4,51031
ENSG00000248624,45.46,AC022447.2,
ENSG00000248878,42.03,AC022447.4,
ENSG00000249114,48.47,AC022447.5,
ENSG00000248813,42.02,AC022447.3,
ENSG00000248378,39.87,AC022447.1,
ENSG00000250164,50.80,AC022447.7,
ENSG00000249688,49.09,AC022447.6,
ENSG00000252373,40.00,RNU6-358P,
ENSG00000224282,42.01,AC010469.1,
ENSG00000251887,35.05,RNU6-760P,
ENSG00000241739,43.75,AC010469.2,
ENSG00000257096,48.10,AL161747.2,
ENSG00000256737,43.84,RBBP4P5,
ENSG00000243914,43.96,RPL5P14,
ENSG00000267752,51.41,RPS10P27,
ENSG00000214108,48.79,TPT1P5,
ENSG00000169208,42.37,OR10G3,26533
ENSG00000172671,37.95,ZFAND4,93550
ENSG00000270012,49.50,AC232271.1,
ENSG00000256081,39.66,AC243972.2,
ENSG00000249774,51.20,AC025458.1,
ENSG00000286031,47.00,AC232271.2,
ENSG00000266243,58.62,MIR4279,100422874
ENSG00000250764,41.29,AC025178.1,
ENSG00000273586,52.44,OR10G1P,
ENSG00000215274,44.45,GAGE10,102724473
ENSG00000053747,42.46,LAMA3,3909
ENSG00000113384,41.09,GOLPH3,64083
ENSG00000256385,45.20,UBE2NP1,
ENSG00000235523,44.87,AL135924.2,
ENSG00000255569,43.56,TRAV1-1,
ENSG00000255582,50.59,OR10G2,26534
ENSG00000233933,51.44,AL135924.1,
ENSG00000256553,43.48,TRAV1-2,
ENSG00000224659,44.28,GAGE12J,26749
ENSG00000224659,44.28,GAGE12J,729396
ENSG00000252428,47.90,RNA5SP285,
ENSG00000225434,40.57,LINC01504,100507540
ENSG00000255664,41.80,ARL6IP1P1,
ENSG00000176732,44.11,PFN4,375189
ENSG00000221977,38.27,OR4E2,26686
ENSG00000266983,53.20,AC011444.1,100128568
ENSG00000276240,39.62,OR4E1,26687
ENSG00000256350,39.39,AC243972.3,
ENSG00000107372,39.89,ZFAND5,7763
ENSG00000211776,45.51,TRAV2,
ENSG00000276087,41.62,AC008073.3,
ENSG00000200065,44.33,Y_RNA,
ENSG00000087903,47.54,RFX2,5990
ENSG00000248358,44.48,AC243972.1,
ENSG00000272086,52.49,AC025181.2,
ENSG00000211777,52.38,TRAV3,
ENSG00000230829,46.63,AC025181.1,
ENSG00000211778,47.29,TRAV4,
ENSG00000211779,43.56,TRAV5,
ENSG00000240954,46.64,RPL4P1,
ENSG00000150712,44.08,MTMR12,54545
ENSG00000232642,44.41,AC008073.2,
ENSG00000211780,46.96,TRAV6,
ENSG00000211781,43.05,TRAV7,
ENSG00000211782,45.83,TRAV8-1,
ENSG00000186453,42.84,FAM228A,653140
ENSG00000211783,42.44,TRAV9-1,
ENSG00000211784,43.54,TRAV10,
ENSG00000256474,43.05,TRAV11,
ENSG00000211785,44.67,TRAV12-1,
ENSG00000211786,51.68,TRAV8-2,
ENSG00000211787,47.44,TRAV8-3,
ENSG00000211788,41.94,TRAV13-1,
ENSG00000211789,42.57,TRAV12-2,
ENSG00000274274,44.28,GAGE13,645051
ENSG00000244491,57.68,AL021707.5,
ENSG00000211790,51.34,TRAV8-4,
ENSG00000223754,53.12,AC008073.1,
ENSG00000230149,57.97,AL021707.3,
ENSG00000256379,44.61,TRAV8-5,
ENSG00000273096,46.45,AL021707.8,
ENSG00000211791,41.12,TRAV13-2,
ENSG00000225450,53.56,AL021707.1,
ENSG00000272669,56.82,AL021707.6,
ENSG00000273076,36.78,AL021707.7,
ENSG00000211792,43.29,TRAV14DV4,
ENSG00000100246,51.30,DNAL4,10126
ENSG00000211793,43.02,TRAV9-2,
ENSG00000258482,42.97,TRAV15,
ENSG00000275113,45.19,GAGE2E,729428
ENSG00000258557,36.61,AC245505.1,
ENSG00000211794,44.03,TRAV12-3,
ENSG00000259277,37.28,AC127522.1,
ENSG00000211795,48.94,TRAV8-6,
ENSG00000211796,43.34,TRAV16,
ENSG00000104059,43.58,FAM189A1,23359
ENSG00000211797,45.87,TRAV17,
ENSG00000211798,45.07,TRAV18,
ENSG00000198399,39.86,ITSN2,50618
ENSG00000211799,45.07,TRAV19,
ENSG00000258705,50.21,AC245505.2,
ENSG00000221890,55.46,NPTXR,23467
ENSG00000211800,45.00,TRAV20,
ENSG00000211801,45.86,TRAV21,
ENSG00000276428,45.81,AC245505.3,
ENSG00000211802,48.77,TRAV22,
ENSG00000211803,43.42,TRAV23DV6,
ENSG00000183741,58.27,CBX6,23466
ENSG00000211804,41.84,TRDV1,
ENSG00000236737,36.75,GAGE12B,
ENSG00000230869,40.58,AGAP10P,
ENSG00000211805,44.64,TRAV24,
ENSG00000237671,44.10,GAGE12C,729422
ENSG00000237840,43.45,FAM21FP,
ENSG00000211806,43.50,TRAV25,
ENSG00000262228,40.80,AC087392.3,
ENSG00000211807,43.60,TRAV26-1,
ENSG00000228702,47.83,AL645998.1,
ENSG00000211808,46.27,TRAV8-7,
ENSG00000171861,48.44,MRM3,55178
ENSG00000259299,43.07,AC061965.2,
ENSG00000211809,47.42,TRAV27,
ENSG00000252868,43.75,AC061965.1,
ENSG00000253535,37.52,AC120193.1,
ENSG00000258835,43.39,TRAV28,
ENSG00000185115,41.77,NSMCE3,56160
ENSG00000211810,42.02,TRAV29DV5,
