Gene_stable_ID,Gene_name,Gene end (bp),Gene start (bp),Gene_length
ENSG00000213849,,32508325,32507955,370
ENSG00000261293,,12095307,12093627,1680
ENSG00000279099,,35256605,35254344,2261
ENSG00000197006,METTL9,21657473,21597218,60255
ENSG00000156675,RAB11FIP1,37899497,37858618,40879
ENSG00000114353,GNAI2,50259362,50226292,33070
ENSG00000147257,GPC3,133985594,133535745,449849
ENSG00000181984,GOLGA8CP,20575696,20562375,13321
ENSG00000261792,DNM1P28,30102093,30098826,3267
ENSG00000270185,IGHD1OR15-1B,21017816,21017800,16
ENSG00000175779,LINC02694,39180499,38628005,552494
ENSG00000259214,,20826640,20826454,186
ENSG00000153339,TRAPPC8,31953136,31829197,123939
ENSG00000273786,,40227069,40226386,683
ENSG00000270055,,30490313,30487963,2350
ENSG00000261480,GOLGA8M,28738431,28719377,19054
ENSG00000277755,,22756729,22756172,557
ENSG00000263070,,30386987,30380353,6634
ENSG00000259516,ANP32AP1,35238197,35181799,56398
ENSG00000164151,ICE1,5490220,5420664,69556
ENSG00000104081,BMF,40108892,40087890,21002
ENSG00000160951,PTGER1,14475354,14472466,2888
ENSG00000179889,PDXDC1,15139339,14974591,164748
ENSG00000198146,ZNF770,34988287,34978341,9946
ENSG00000268564,ILVBL-AS1,15126174,15124160,2014
ENSG00000198367,OR7A11P,14917380,14916428,952
ENSG00000253524,,36095046,36004316,90730
ENSG00000275432,,14628801,14628599,202
ENSG00000240519,,26772140,26771790,350
ENSG00000254362,,26442595,26440491,2104
ENSG00000259380,,38226897,38139595,87302
ENSG00000167461,RAB8A,16134234,16111889,22345
ENSG00000253414,LINC01605,37521447,37516399,5048
ENSG00000277435,,22691158,22690454,704
ENSG00000248949,,956520,946315,10205
ENSG00000253476,,25426580,25425521,1059
ENSG00000259603,,3600188,3596211,3977
ENSG00000248738,,22888022,22877972,10050
ENSG00000259239,,40135214,40133768,1446
ENSG00000071539,TRIP13,919357,892884,26473
ENSG00000259122,TVP23BP1,26970385,26964917,5468
ENSG00000260571,BNIP3P5,42314386,42313687,699
ENSG00000253133,,41578421,41509593,68828
ENSG00000259245,LINC02853,36049537,35919892,129645
ENSG00000258706,SLC20A1P3,19968352,19967414,938
ENSG00000259254,,40646857,40642933,3924
ENSG00000248964,,29854543,29815004,39539
ENSG00000253344,,37674387,37626015,48372
ENSG00000180229,HERC2P3,20506180,20379495,126685
ENSG00000284724,,12659348,12659130,218
ENSG00000187840,EIF4EBP1,38060365,38030534,29831
ENSG00000224440,CXorf51A,146814726,146814106,620
ENSG00000269993,,151182855,151182386,469
ENSG00000160219,GAB3,154751583,154675249,76334
ENSG00000186599,DEFB105B,7489593,7487679,1914
ENSG00000285687,FAM90A22P,7575006,7571995,3011
ENSG00000234546,LNCTAM34A,9196284,9182004,14280
ENSG00000272288,ILRUN-AS1,34697470,34696317,1153
ENSG00000104756,KCTD9,25458476,25427847,30629
ENSG00000116786,PLEKHM2,15734769,15684320,50449
ENSG00000228216,,90965393,90957260,8133
ENSG00000276128,,43045120,42974855,70265
ENSG00000096433,ITPR3,33696574,33620365,76209
ENSG00000204814,,61662690,61659733,2957
ENSG00000270627,,78589539,78589158,381
ENSG00000158079,PTPDC1,94109856,94030794,79062
ENSG00000174358,SLC6A19,1225111,1201595,23516
ENSG00000167460,TPM4,16103002,16067021,35981
ENSG00000235703,LINC00894,150224580,149938613,285967
ENSG00000223597,LINC02142,7391907,7373115,18792
ENSG00000091157,WDR7,57029811,56651343,378468
ENSG00000287790,,7069351,7065091,4260
ENSG00000248962,,4013649,4012708,941
ENSG00000249966,,1851497,1850950,547
ENSG00000145536,ADAMTS16,5320304,5140330,179974
ENSG00000120925,RNF170,42897290,42849637,47653
ENSG00000223940,KRT8P8,152481024,152479577,1447
ENSG00000234748,,146538048,146537535,513
ENSG00000214930,KRT8P6,138488871,138487665,1206
ENSG00000226388,ELL2P4,146555765,146553728,2037
ENSG00000102243,VGLL1,136556807,136532215,24592
ENSG00000200332,Y_RNA,41648190,41648089,101
ENSG00000100138,SNU13,41690504,41673933,16571
ENSG00000101098,RIMS4,44810546,44751808,58738
ENSG00000256951,,28789486,28789199,287
ENSG00000137801,THBS1,39599466,39581079,18387
ENSG00000111224,PARP11,3873448,3791047,82401
ENSG00000280069,,30740275,30738182,2093
ENSG00000267035,,35540797,35540039,758
ENSG00000144659,SLC25A38,39397351,39383370,13981
ENSG00000227300,KRT16P2,16832830,16829999,2831
ENSG00000282419,TEX13D,124336863,124246249,90614
ENSG00000232211,,86696496,86632147,64349
ENSG00000231686,ANKRD11P2,146620584,146619597,987
ENSG00000225883,BMS1P11,64709311,64705734,3577
ENSG00000286096,GPC3-AS1,133897934,133897443,491
ENSG00000130222,GADD45G,89606555,89605012,1543
ENSG00000214897,PNMA6E,153401392,153395639,5753
ENSG00000262227,,4988446,4987706,740
ENSG00000225660,,146955209,146955075,134
ENSG00000267046,E2F3P1,35491238,35490009,1229
ENSG00000254370,,28420055,28415524,4531
ENSG00000172171,TEFM,30906238,30897336,8902
ENSG00000253643,,24514856,24490312,24544
ENSG00000147394,ZNF185,152973480,152914442,59038
ENSG00000178287,SPAG11A,7868867,7847876,20991
ENSG00000231133,HAR1B,63102631,63090806,11825
ENSG00000285531,,41677125,41676745,380
ENSG00000207457,RNU6-476P,41679817,41679711,106
ENSG00000184208,C22orf46,41698136,41688877,9259
ENSG00000274915,,63102259,63102142,117
ENSG00000225978,HAR1A,63104386,63102205,2181
ENSG00000287324,,63117205,63116218,987
ENSG00000260416,,63129459,63127495,1964
ENSG00000286628,,63152087,63144311,7776
ENSG00000268951,CDRT15P7,63720441,63719864,577
ENSG00000231977,,63180903,63166797,14106
ENSG00000224185,SNX18P9,64440180,64439346,834
ENSG00000258757,,52641566,52640839,727
ENSG00000135045,C9orf40,74952912,74946583,6329
ENSG00000207598,MIR124-3,63178586,63178500,86
ENSG00000231261,HMGN2P10,41709489,41709225,264
ENSG00000149658,YTHDF1,63216139,63195429,20710
ENSG00000252603,RNU6ATAC22P,41722131,41722043,88
ENSG00000070778,PTPN21,88555007,88465778,89229
ENSG00000266503,RN7SL162P,28643270,28642979,291
ENSG00000248137,,2835139,2831021,4118
ENSG00000100209,HSCB,28757515,28742039,15476
ENSG00000285689,,7276923,7272792,4131
ENSG00000280251,,8143784,8143618,166
ENSG00000226429,,62395678,62395370,308
ENSG00000021776,AQR,34969742,34851782,117960
ENSG00000233713,,86132851,86132622,229
ENSG00000178691,SUZ12,32001038,31937007,64031
ENSG00000277412,,61203446,61194211,9235
ENSG00000279002,,8660059,8659764,295
ENSG00000231990,,93858340,93808347,49993
ENSG00000153560,UBP1,33441371,33388336,53035
ENSG00000287727,,10616452,10612222,4230
ENSG00000171421,MRPL36,1801366,1798385,2981
ENSG00000176022,B3GALT6,1235041,1232237,2804
ENSG00000224945,,89109934,89088604,21330
ENSG00000223989,,9850154,9848318,1836
ENSG00000228423,,8807051,8805860,1191
ENSG00000130956,HABP4,96491336,96450169,41167
ENSG00000286448,,268655,266855,1800
ENSG00000162496,DHRS3,12618210,12567910,50300
ENSG00000273821,,63218502,63218041,461
ENSG00000101197,BIRC7,63240495,63235883,4612
ENSG00000250490,LINC02145,6339884,6310441,29443
ENSG00000250481,,5034267,4974690,59577
ENSG00000280017,,10543192,10541454,1738
ENSG00000124279,FASTKD3,7869037,7859159,9878
ENSG00000243844,RPL17P33,29632644,29632091,553
ENSG00000286705,,337433,307335,30098
ENSG00000015592,STMN4,27258420,27235323,23097
ENSG00000225856,PCNPP2,88971341,88970887,454
ENSG00000275764,,27038960,27037100,1860
ENSG00000287287,,35491969,35491133,836
ENSG00000276462,,41119909,41100793,19116
ENSG00000130038,CRACR2A,3764819,3606633,158186
ENSG00000130997,POLN,2242121,2071918,170203
ENSG00000237365,,7014279,7008376,5903
ENSG00000131686,CA6,8975092,8945867,29225
ENSG00000183765,CHEK2,28742422,28687743,54679
ENSG00000237357,,42569353,42566679,2674
ENSG00000166016,ABTB2,34358010,34150987,207023
ENSG00000214908,,86375706,86374966,740
ENSG00000285686,LINC02834,86708307,86669349,38958
ENSG00000136842,TMOD1,97601743,97501180,100563
ENSG00000266463,MIR3196,63238842,63238779,63
ENSG00000101198,NKAIN4,63272694,63240784,31910
ENSG00000111859,NEDD9,11382348,11183298,199050
ENSG00000258602,LINC01629,76965802,76959638,6164
ENSG00000286257,,57060715,56951008,109707
ENSG00000251476,MTCO1P31,5396968,5396477,491
ENSG00000274736,CCL23,36017972,36013056,4916
ENSG00000205976,,7306592,7299774,6818
ENSG00000183379,SYNDIG1L,74426210,74405894,20316
ENSG00000260763,,4440259,4436850,3409
ENSG00000164363,SLC6A18,1246189,1225381,20808
ENSG00000249628,LINC00942,1504424,1500525,3899
ENSG00000256356,HSPA8P5,4099519,4097451,2068
ENSG00000198668,CALM1,90408268,90396502,11766
ENSG00000255763,MRPS18CP4,14237321,14237091,230
ENSG00000284513,,4963450,4960113,3337
ENSG00000255649,,14543575,14530124,13451
ENSG00000266987,,30144790,30144062,728
ENSG00000256482,,24836558,24830421,6137
ENSG00000284263,,22532522,22532166,356
ENSG00000197322,C17orf102,34579369,34574123,5246
ENSG00000215241,LINC02449,8242564,8235415,7149
ENSG00000255951,,28165662,28164958,704
ENSG00000106803,SEC61B,99230615,99222064,8551
ENSG00000255008,LINC02739,59566283,59560298,5985
ENSG00000229305,,8192770,8189824,2946
ENSG00000284703,,4019508,4012921,6587
ENSG00000226472,,31006010,30978308,27702
ENSG00000226457,RPL22P3,16369530,16369150,380
ENSG00000251506,,4970425,4967764,2661
ENSG00000162494,LRRC38,13514003,13474973,39030
ENSG00000255451,,44470429,44468464,1965
ENSG00000265544,AA06,33533760,33529787,3973
ENSG00000272049,,8445535,8444949,586
ENSG00000101752,MIB1,21870953,21704957,165996
ENSG00000248736,,2967955,2921496,46459
ENSG00000255171,LINC01499,41857733,41714534,143199
ENSG00000249782,,8561682,8525144,36538
ENSG00000257094,,32007435,32007127,308
ENSG00000250576,,10777062,10775058,2004
ENSG00000277109,,61582675,61581813,862
ENSG00000173614,NMNAT1,9985501,9943428,42073
ENSG00000134533,RERG,15348675,15107783,240892
ENSG00000280020,,32180074,32178946,1128
ENSG00000267359,,35554767,35553205,1562
ENSG00000242660,,35566672,35566517,155
ENSG00000255553,LINC02733,62082184,62049863,32321
ENSG00000078295,ADCY2,7830081,7396138,433943
ENSG00000165023,DIRAS2,90642862,90609832,33030
ENSG00000236607,EEF1DP8,62169828,62169293,535
ENSG00000174227,PIGG,540200,499210,40990
ENSG00000255139,,59639861,59565923,73938
ENSG00000275620,FLJ16779,63261615,63253978,7637
ENSG00000172289,OR10V1,59713845,59712916,929
ENSG00000141034,GID4,18068405,18039408,28997
ENSG00000254562,LINC01493,38686323,38646451,39872
ENSG00000136929,HEMGN,97944856,97926791,18065
ENSG00000101199,ARFGAP1,63289790,63272785,17005
ENSG00000175220,ARHGAP1,46700619,46677080,23539
ENSG00000261581,HERC2P11,28579400,28575019,4381
ENSG00000259460,,37100173,37099339,834
ENSG00000279364,,34980084,34978351,1733
ENSG00000248527,MTATP6P1,634376,633696,680
ENSG00000270304,,37254952,37253879,1073
ENSG00000237728,CAMTA1-AS2,7389754,7382487,7267
ENSG00000279417,,30348236,30344307,3929
ENSG00000215720,MFFP1,15192845,15191828,1017
ENSG00000279804,PRAMEF18,13226106,13222705,3401
ENSG00000105135,ILVBL,15125786,15114984,10802
ENSG00000116273,PHF13,6624030,6613731,10299
ENSG00000096063,SRPK1,35921342,35832966,88376
ENSG00000137843,PAK6,40277487,40217428,60059
ENSG00000256582,LINC02390,9709350,9704077,5273
ENSG00000254381,TUBB8P5,38203792,38201566,2226
ENSG00000150636,CCDC102B,69055189,68715209,339980
ENSG00000241326,,9984568,9983141,1427
ENSG00000285701,,9908034,9900614,7420
ENSG00000287388,,31652095,31627575,24520
ENSG00000233623,PGAM1P11,10059648,10058671,977
ENSG00000234428,,26649479,26623369,26110
ENSG00000264765,,16654787,16653904,883
ENSG00000227081,,3211917,3211663,254
ENSG00000287955,,99371887,99359336,12551
ENSG00000243085,,38527032,38526831,201
ENSG00000245648,KLRK1-AS1,10398506,10363638,34868
ENSG00000273806,,83202065,83201957,108
ENSG00000162592,CCDC27,3771645,3746460,25185
ENSG00000273849,SDR42E1P4,66725064,66724584,480
ENSG00000233947,ASS1P3,78179512,78178263,1249
ENSG00000237072,,81488837,81488308,529
ENSG00000011295,TTC19,16045015,15999784,45231
ENSG00000277705,,11507408,11507162,246
ENSG00000130958,SLC35D2,96383711,96313444,70267
ENSG00000256538,,34058745,34037232,21513
ENSG00000256894,,26126617,26125155,1462
ENSG00000177873,ZNF619,40491053,40477113,13940
ENSG00000023697,DERA,16037381,15911302,126079
ENSG00000116254,CHD5,6180321,6101787,78534
ENSG00000154040,CABYR,24161600,24138987,22613
ENSG00000220204,,34404949,34404663,286
ENSG00000085063,CD59,33736479,33703010,33469
ENSG00000144649,GASK1A,43060211,42979267,80944
ENSG00000258649,,38202923,38190983,11940
ENSG00000259155,STK16P1,49677893,49677369,524
ENSG00000286437,,76793807,76790267,3540
ENSG00000247092,SNHG10,95534889,95521943,12946
ENSG00000188818,ZDHHC11,850986,795606,55380
ENSG00000258985,,53038251,53036755,1496
ENSG00000258496,,87251679,87251103,576
ENSG00000278860,,34614809,34614409,400
ENSG00000236320,SLFN14,35560819,35543985,16834
ENSG00000100523,DDHD1,53153323,53036745,116578
ENSG00000253290,,27903495,27903229,266
ENSG00000279456,,41062917,41061290,1627
ENSG00000243181,,34874633,34874159,474
ENSG00000231799,PA2G4P6,89450754,89449558,1196
ENSG00000255211,,7968544,7967344,1200
ENSG00000185074,OR7E31P,90216924,90216039,885
ENSG00000238245,MYO5BP2,62858484,62857208,1276
ENSG00000287166,,23494897,23492170,2727
ENSG00000135018,UBQLN1,83707958,83659968,47990
ENSG00000147471,PLPBP,37779768,37762595,17173
ENSG00000264458,,32686484,32627739,58745
ENSG00000144674,GOLGA4,37366751,37243177,123574
ENSG00000263946,,20559410,20554971,4439
ENSG00000154760,SLFN13,35448837,35435096,13741
ENSG00000274624,,22105320,22104491,829
ENSG00000256499,LINC02468,20136163,20120980,15183
ENSG00000186526,CYP4F8,15630639,15615218,15421
ENSG00000165682,CLEC1B,10013424,9985642,27782
ENSG00000247516,MIR4458HG,8486930,8450701,36229
ENSG00000249830,LINC02162,3461660,3452816,8844
ENSG00000248311,,4805769,4775476,30293
ENSG00000250974,LINC02196,7219291,6839460,379831
ENSG00000249201,CTD-3080P12.3,1178605,1173141,5464
ENSG00000183654,MARCHF11,16180762,16067139,113623
ENSG00000243507,,3469296,3468950,346
ENSG00000121380,BCL2L14,12211084,12049844,161240
ENSG00000136874,STX17,99974534,99906654,67880
ENSG00000145495,MARCHF6,10440388,10353695,86693
ENSG00000286051,MAGEA6-DT,152792268,152769764,22504
ENSG00000233979,RPL22P21,16084381,16084042,339
ENSG00000265697,,33541339,33534110,7229
ENSG00000203952,CCDC160,134246207,134237047,9160
ENSG00000266356,,27412806,27411438,1368
ENSG00000176289,IDSP1,149526043,149525001,1042
ENSG00000155495,MAGEC1,141909374,141903894,5480
ENSG00000287751,,20417956,20417450,506
ENSG00000267609,SNX33P1,16036537,16034776,1761
ENSG00000269787,OR7A3P,14904138,14903232,906
ENSG00000108256,NUFIP2,29294148,29255839,38309
ENSG00000267056,,15911824,15910582,1242
ENSG00000161031,PGLYRP2,15498956,15468645,30311
ENSG00000182508,LHFPL1,112680054,112630648,49406
ENSG00000121690,DEPDC7,33033582,33015876,17706
ENSG00000102181,CD99L2,150898816,150766336,132480
ENSG00000258585,ZNF519P3,21912590,21911559,1031
ENSG00000236299,,63900794,63888200,12594
ENSG00000259993,,30225564,30223017,2547
ENSG00000159248,GJD2,34754998,34751032,3966
ENSG00000131899,LLGL1,18244875,18225635,19240
ENSG00000049245,VAMP3,7781432,7771296,10136
ENSG00000232956,SNHG15,44986961,44983023,3938
ENSG00000259330,INAFM2,40326715,40323692,3023
ENSG00000260232,PWRN4,24090821,23912411,178410
ENSG00000219273,,38764694,38762905,1789
ENSG00000284823,,4724885,4714098,10787
ENSG00000249346,LINC01016,33896914,33867506,29408
ENSG00000198551,ZNF627,11619161,11559374,59787
ENSG00000260588,,41829934,41828165,1769
ENSG00000134013,LOXL2,23425328,23296897,128431
ENSG00000179743,FLJ37453,15848147,15834474,13673
ENSG00000233645,,8220529,8218190,2339
ENSG00000234064,PRAMEF29P,12928253,12926162,2091
ENSG00000134138,MEIS2,37101299,36889204,212095
ENSG00000229391,HLA-DRB6,32560022,32552713,7309
ENSG00000130731,METTL26,636366,634427,1939
ENSG00000204624,DISP3,11537551,11479155,58396
ENSG00000160961,ZNF333,14733746,14689801,43945
ENSG00000176933,TOB2P1,28218634,28217643,991
ENSG00000247925,,11259099,11173452,85647
ENSG00000233848,,20800694,20756103,44591
ENSG00000214943,GPR33,31488039,31482875,5164
ENSG00000224438,RPL23AP14,2782371,2781904,467
ENSG00000198502,HLA-DRB5,32530287,32517353,12934
ENSG00000283297,TEX52,2857039,2849046,7993
ENSG00000233531,DEFA10P,6969113,6968141,972
ENSG00000255118,,62338090,62336911,1179
ENSG00000251191,LINC00589,29748109,29673922,74187
ENSG00000130035,GALNT8,4851927,4720400,131527
ENSG00000254930,LINC02545,13870616,13844862,25754
ENSG00000285231,OOSP3,59896481,59878809,17672
ENSG00000259045,MTCO1P2,32484800,32484098,702
ENSG00000166889,PATL1,59669037,59636716,32321
ENSG00000139921,TMX1,51257655,51240162,17493
ENSG00000283402,,18849707,18849258,449
ENSG00000061337,LZTS1,20303963,20246165,57798
ENSG00000164556,FAM183BP,38687037,38685346,1691
ENSG00000228815,MARK2P13,36110872,36109024,1848
ENSG00000234467,SLC25A1P2,63398957,63398046,911
ENSG00000205959,,8516759,8482270,34489
ENSG00000253161,LINC01605,37554183,37421341,132842
ENSG00000250613,,10411644,10410996,648
ENSG00000106638,TBL2,73578791,73567537,11254
ENSG00000284727,,4107583,4048211,59372
ENSG00000255160,,19308358,19299883,8475
ENSG00000251166,OR7E163P,3890249,3889356,893
ENSG00000254822,,41877078,41876634,444
ENSG00000242209,RPL32P12,13648400,13647697,703
ENSG00000124574,ABCC10,43450427,43427366,23061
ENSG00000284708,,11643416,11623558,19858
ENSG00000166311,SMPD1,6394998,6390440,4558
ENSG00000188873,RPL10AP2,47157771,47157118,653
ENSG00000251292,ERVH-1,23733579,23723262,10317
ENSG00000234276,SDR42E1P3,62690534,62690033,501
ENSG00000230147,,91170045,91169585,460
ENSG00000286318,,21523709,21520854,2855
ENSG00000170161,,62900104,62897368,2736
ENSG00000249844,OR7E43P,4175238,4174319,919
ENSG00000242952,RPSAP3,76635661,76634775,886
ENSG00000184661,CDCA2,25507911,25459199,48712
ENSG00000287104,,6987036,6985926,1110
ENSG00000242686,PDE6B-AS1,656213,652850,3363
ENSG00000185246,PRPF39,45116282,45084107,32175
ENSG00000171603,CLSTN1,9823984,9728926,95058
ENSG00000283240,,16788375,16661766,126609
ENSG00000280310,,4821452,4820405,1047
ENSG00000053747,LAMA3,23956222,23689453,266769
ENSG00000226566,,103429892,103361952,67940
ENSG00000250476,ENPP7P9,3967660,3967034,626
ENSG00000276149,,61203087,61202718,369
ENSG00000250074,,10268231,10267895,336
ENSG00000250039,,22330330,21949015,381315
ENSG00000119508,NR4A3,99866891,99821855,45036
ENSG00000087502,ERGIC2,29381189,29337352,43837
ENSG00000248360,LINC00504,14888169,14470465,417704
ENSG00000266733,TBC1D29P,30563493,30553502,9991
ENSG00000251595,ABCA11P,474129,425435,48694
ENSG00000262454,MIR193BHG,14331067,14301389,29678
ENSG00000249988,,14242813,14164455,78358
ENSG00000109519,GRPEL1,7068064,7058895,9169
ENSG00000267275,KLF2-DT,16324514,16283359,41155
ENSG00000185010,F8,155026940,154835788,191152
ENSG00000188305,PEAK3,2282175,2274631,7544
ENSG00000259876,,12557694,12556353,1341
ENSG00000273804,,14953120,14953012,108
ENSG00000261596,,21627569,21626742,827
ENSG00000267517,LINC01855,16066312,16065737,575
ENSG00000268673,,15770828,15760375,10453
ENSG00000249219,,9924146,9922814,1332
ENSG00000141977,CIB3,16173525,16161368,12157
ENSG00000251652,,1132977,1113639,19338
ENSG00000250040,RAF1P1,10256621,10254926,1695
ENSG00000283183,,618076,577168,40908
ENSG00000265041,,27672803,27666749,6054
ENSG00000109667,SLC2A9,10054936,9771153,283783
ENSG00000140694,PARN,14632728,14435700,197028
ENSG00000223716,,38376430,38360427,16003
ENSG00000232283,HSD17B3-AS1,96250393,96246462,3931
ENSG00000214929,SPATA31D1,81995253,81988772,6481
ENSG00000264990,,34178166,34176538,1628
ENSG00000265775,,34118882,34118347,535
ENSG00000215067,ALOX12-AS1,7012530,6875232,137298
ENSG00000253200,,22616657,22613908,2749
ENSG00000254067,,39580134,39522976,57158
ENSG00000275144,SNX18P5,42924144,42923277,867
ENSG00000226668,,92899608,92882567,17041
ENSG00000254244,PAICSP4,4788584,4787332,1252
ENSG00000099330,OCEL1,17229219,17226213,3006
ENSG00000267026,,98872415,98847172,25243
ENSG00000186918,ZNF395,28402701,28345590,57111
ENSG00000134827,TCN1,59866489,59852800,13689
ENSG00000271235,,22812047,22811390,657
ENSG00000236452,,34268811,34203244,65567
ENSG00000271653,,37217988,37216779,1209
ENSG00000227123,RPL12P44,44938482,44937673,809
ENSG00000235482,RPL21P135,37748900,37748110,790
ENSG00000277161,PIGW,36539310,36534987,4323
ENSG00000230302,MTND3P4,101793756,101793454,302
ENSG00000286388,,1350786,1345197,5589
ENSG00000215246,,997308,987180,10128
ENSG00000285771,,7261993,7258910,3083
ENSG00000177992,SPATA31E1,87888903,87882877,6026
ENSG00000232615,,1616334,1614836,1498
ENSG00000163512,AZI2,28349050,28315003,34047
ENSG00000165588,OTX2,56816693,56799905,16788
ENSG00000153395,LPCAT1,1523962,1456480,67482
ENSG00000119523,ALG2,99221942,99216425,5517
ENSG00000267745,,35409768,35406684,3084
ENSG00000112053,SLC26A8,36024868,35943516,81352
ENSG00000265453,,27281415,27281094,321
ENSG00000277632,CCL3,36090169,36088256,1913
ENSG00000254566,,36323440,36321158,2282
ENSG00000152270,PDE3B,14872044,14643804,228240
ENSG00000277757,,45147221,45016080,131141
ENSG00000230425,RSU1P1,42737159,42725857,11302
ENSG00000276422,,60964196,60943311,20885
ENSG00000228717,NAB1P1,151227715,151226229,1486
ENSG00000277133,,38617344,38617255,89
ENSG00000215054,HNRNPCP10,144841660,144840777,883
ENSG00000283930,PLD5P1,38360098,38094368,265730
ENSG00000227183,HDGFP1,131646890,131646639,251
ENSG00000276277,,42213918,42213841,77
ENSG00000183631,PRR32,126821786,126819729,2057
ENSG00000286981,,91161315,91153669,7646
ENSG00000286065,SLFN12L,35537861,35474904,62957
ENSG00000130948,HSD17B3,96302176,96235306,66870
ENSG00000228065,LINC01515,65880289,65570338,309951
ENSG00000287394,,152698700,152574677,124023
ENSG00000224314,TCERG1P1,117400081,117399452,629
ENSG00000271211,,120962339,120962087,252
ENSG00000265125,,33624122,33565764,58358
ENSG00000235699,CXorf51B,146810411,146809771,640
ENSG00000177602,HASPIN,3726699,3723903,2796
ENSG00000228451,SDAD1P1,26382953,26375913,7040
ENSG00000280113,,9828271,9826289,1982
ENSG00000108702,CCL1,34363233,34360328,2905
ENSG00000155966,AFF2,149000663,148500617,500046
ENSG00000287019,,56617957,56615084,2873
ENSG00000255495,,12196280,12194467,1813
ENSG00000250259,,1028972,1027678,1294
ENSG00000249773,,55955239,55887277,67962
ENSG00000271869,DCTN6-DT,30156232,30155830,402
ENSG00000251278,,10292708,10292195,513
ENSG00000244708,RPL23P10,36581591,36581180,411
ENSG00000213645,SLC25A1P3,63931968,63931141,827
ENSG00000239198,RPL5P22,28300566,28299683,883
ENSG00000254095,,31346479,31339197,7282
ENSG00000277174,,56687366,56685036,2330
ENSG00000142606,MMEL1,2633016,2590639,42377
ENSG00000225718,,69430923,69186821,244102
ENSG00000250483,PPM1AP1,15807283,15806149,1134
ENSG00000178222,RNF212,1113564,1056250,57314
ENSG00000285601,,29360222,29351292,8930
ENSG00000266919,hsa-mir-423,30117172,30117079,93
ENSG00000253504,MTCYBP19,36278886,36277763,1123
ENSG00000254796,,7601267,7601004,263
ENSG00000166582,CENPV,16353656,16342534,11122
ENSG00000270966,,8934006,8933721,285
ENSG00000213530,MTHFD2P5,82590691,82589848,843
ENSG00000272338,,33361415,33360839,576
ENSG00000225270,CICP12,55798876,55798034,842
ENSG00000254090,MTND2P32,33017043,33015261,1782
ENSG00000235379,RPL7P31,34711480,34710757,723
ENSG00000182348,ZNF804B,89338528,88759700,578828
ENSG00000248729,MTCO1P30,5395957,5395378,579
ENSG00000269439,PGLS-DT,17511889,17488990,22899
ENSG00000147475,ERLIN2,37758422,37736601,21821
ENSG00000256862,PARP11-AS1,3910382,3871579,38803
ENSG00000145491,ROPN1L,10472029,10441524,30505
ENSG00000256892,MTRNR2L7,37602974,37601440,1534
ENSG00000127220,ABHD8,17310236,17292131,18105
ENSG00000175395,ZNF25,37976647,37949573,27074
ENSG00000011105,TSPAN9,3286564,3077355,209209
ENSG00000126524,SBDS,66995587,66987680,7907
ENSG00000259002,,34546329,34541740,4589
ENSG00000119636,BBOF1,74082863,74019349,63514
ENSG00000266104,MIR4326,63286866,63286808,58
ENSG00000101203,COL20A1,63334851,63293186,41665
ENSG00000166275,BORCS7,102864961,102854259,10702
ENSG00000287961,,16197738,16197080,658
ENSG00000236907,,57818012,57817601,411
ENSG00000267392,CYP4F9P,15999020,15979835,19185
ENSG00000223559,,56291425,56288230,3195
ENSG00000249994,,4041764,4033713,8051
ENSG00000278577,,63994006,63993904,102
ENSG00000279011,,10057807,10057502,305
ENSG00000226392,MTATP6P21,67628019,67627831,188
ENSG00000250037,,8456558,8455946,612
ENSG00000286986,,5694742,5688805,5937
ENSG00000260515,,10197628,10195121,2507
ENSG00000214765,SEPTIN7P2,45768985,45723780,45205
ENSG00000278877,,8755159,8754869,290
ENSG00000251250,,7326609,7289891,36718
ENSG00000249326,CTD-2194D22.4,1900493,1887332,13161
ENSG00000257176,,29317848,29277955,39893
ENSG00000257058,,62547699,62545999,1700
ENSG00000267033,,16189458,16186276,3182
ENSG00000233945,LINC02650,83677122,83672406,4716
ENSG00000113430,IRX4,1887236,1877413,9823
ENSG00000257891,,18934078,18920109,13969
ENSG00000227253,,32269474,32266289,3185
ENSG00000179715,PCED1B,47236662,47079603,157059
ENSG00000176148,TCP11L1,33105943,33039417,66526
ENSG00000258791,LINC00520,55796731,55781132,15599
ENSG00000272817,,91909348,91908131,1217
ENSG00000226159,LINC01375,89957373,89915489,41884
ENSG00000006125,AP2B1,35726413,35578046,148367
ENSG00000224750,,90502968,90454170,48798
ENSG00000235489,DBF4P1,64170850,64168959,1891
ENSG00000224934,,99463259,99430919,32340
ENSG00000163491,NEK10,27369460,27110085,259375
ENSG00000127527,EPS15L1,16472085,16355239,116846
ENSG00000213432,RPL17P34,93284558,93284004,554
ENSG00000270589,,110912244,110910596,1648
ENSG00000231970,,97419524,97401115,18409
ENSG00000286683,,97203721,97195907,7814
ENSG00000256691,,3463586,3462718,868
ENSG00000237768,,73074008,73071295,2713
ENSG00000205636,LINC00583,13945610,13927971,17639
ENSG00000256159,,31477987,31477506,481
ENSG00000230161,,100912741,100912320,421
ENSG00000228778,,99528467,99526948,1519
ENSG00000228658,,88976298,88971638,4660
ENSG00000256381,,4648027,4645496,2531
ENSG00000248564,,338583,338097,486
ENSG00000276257,,66085031,66084804,227
ENSG00000233381,AK4P3,31616439,31615771,668
ENSG00000270909,,41983753,41979352,4401
ENSG00000272921,,4662643,4604944,57699
